text,actual,predicted
Prions are unprecedented infectious pathogens that cause a group of rare and inevitably fatal neurodegenerative diseases,Dementia and Mild Cognitive Impairment,ALS and Huntington's Disease
"Coronary arterial calcification predicts coronary events, but although intracranial arterial calcification on CT (CT-IAC",Dementia and Mild Cognitive Impairment,Stroke
Idiopathic normal pressure hydrocephalus (iNPH) is a condition in the elderly commonly treated with ventriculoperitoneal,Dementia and Mild Cognitive Impairment,Alzheimer's Disease
Neuropsychiatric symptoms (NPSs) occur in up to 85% of Alzheimer's disease (AD) cases. Current treatments - repurposed f,Dementia and Mild Cognitive Impairment,Alzheimer's Disease
"Cognitive impairment, including dementia, is one of the most important nonmotor symptoms of Parkinson's disease (PD). It",Dementia and Mild Cognitive Impairment,Parkinson's Disease
"Alzheimer's Disease (AD) is a progressive neurodegenerative disorder primarily affecting older adults, characterized by ",Dementia and Mild Cognitive Impairment,Alzheimer's Disease
"Neuroimaging genetics has advanced our understanding of Alzheimer's disease (AD); however, frameworks using functional g",Dementia and Mild Cognitive Impairment,Alzheimer's Disease
Detecting practical biomarkers to facilitate early diagnosis of Alzheimer's disease (AD) before the onset of overt sympt,Dementia and Mild Cognitive Impairment,Alzheimer's Disease
Accurate prediction of progressive Mild Cognitive Impairment (pMCI) versus stable MCI (sMCI) is crucial for early Alzhei,Dementia and Mild Cognitive Impairment,Alzheimer's Disease
"Tablet-based Cognitive Assessment Tool (TabCAT) Match, a digital neuropsychological test, was compared to measures of ex",Alzheimer's Disease,Dementia and Mild Cognitive Impairment
"Alzheimer's disease (AD), the most common form of dementia, is a progressive and irreversible neurodegenerative disorder",Dementia and Mild Cognitive Impairment,Alzheimer's Disease
Early detection of cognitive impairment (CI) is critical for timely intervention in Alzheimer's disease and AD-related d,Dementia and Mild Cognitive Impairment,Alzheimer's Disease
"Meta-analysis results, based largely among Whites, suggested that fine particulate matter (PM We investigated incidence ",Alzheimer's Disease,Dementia and Mild Cognitive Impairment
"Amyloid-β (Aβ1-42) prefibrillar aggregates are considered the most neurotoxic amyloid species, yet their transient and h",Alzheimer's Disease,Stroke
"Alzheimer's disease (AD) is a common elderly illness, and the hand movement abilities of patients differ from those of n",Dementia and Mild Cognitive Impairment,Alzheimer's Disease
